,host_response_time,host_response_rate,host_is_superhost,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,minimum_nights,availability_30,number_of_reviews,instant_bookable,cancellation_policy,wifi,tv,ac,kitchen,hair_dryer,free_park
5387,3,1.0,1,0,1,2,2,1.5,1.0,1.0,1,60,1,7,67,0,2,1,0,1,1,1,0
5390,1,1.0,1,1,1,2,2,1.0,1.0,1.0,1,65,1,0,10,0,1,1,0,1,0,1,1
5391,2,1.0,1,1,1,2,2,1.0,1.0,1.0,1,80,2,0,88,0,1,1,1,1,1,1,0
5395,2,1.0,0,1,1,2,1,1.0,1.0,1.0,1,36,4,8,4,0,3,1,0,1,1,0,0
5396,1,1.0,0,1,1,2,3,1.0,1.0,2.0,1,57,1,0,2,0,1,1,1,1,1,1,0
5397,2,0.8,0,1,1,1,12,1.0,3.0,9.0,1,200,1,0,35,0,1,1,1,1,1,0,0
5398,4,0.0,0,1,1,2,2,1.0,1.0,1.0,2,79,1,29,7,0,3,1,1,0,1,0,0
5399,2,1.0,0,1,1,1,4,1.0,0.0,2.0,1,100,2,0,4,0,1,1,1,1,1,1,0
5400,1,1.0,0,1,1,1,4,1.0,2.0,2.0,1,200,3,0,4,0,2,1,0,1,1,1,0
5401,1,1.0,0,0,1,3,2,1.0,1.0,2.0,2,25,1,2,14,1,3,1,0,0,1,0,0
5402,1,1.0,0,1,1,1,4,2.0,2.0,2.0,1,110,4,3,126,0,2,1,1,1,1,1,0
5403,3,0.5,0,1,1,2,2,1.0,1.0,1.0,1,115,2,0,3,0,3,1,0,1,0,1,0
5404,1,1.0,0,1,1,1,2,1.0,1.0,1.0,1,89,5,0,0,0,2,1,0,1,1,1,0
5406,2,1.0,0,1,1,2,2,1.0,1.0,2.0,1,60,10,0,1,0,2,1,1,1,1,1,0
5407,1,1.0,0,1,1,1,2,1.0,0.0,1.0,1,85,4,0,0,1,1,1,1,1,1,0,0
5409,1,1.0,1,1,1,2,2,1.0,3.0,1.0,1,120,1,0,38,0,3,1,1,1,1,0,0
5410,3,0.86,0,1,1,2,1,1.0,0.0,2.0,1,60,2,28,0,0,3,1,1,1,1,0,0
5411,2,1.0,0,1,1,1,6,1.0,3.0,3.0,1,240,1,0,22,1,2,1,0,0,1,1,0
5412,2,1.0,0,1,1,2,1,1.0,1.0,1.0,1,53,14,23,2,0,2,1,0,1,1,1,0
5415,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,70,2,16,10,1,1,1,0,1,1,0,0
5416,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,73,1,15,61,0,2,1,1,1,1,1,0
